Mes,fibraJVN,fibraw1k,Bitcoin,Cardano,etc_usd,Aluminio,Cobre,Paladio,Plata,Etf
Jun 2021,0.00315,0.03248,-0.1221,-0.27771,-0.52954,0.05281,-0.08706,-0.07747,-0.06759,0.05815
May 2021,0.00337,-0.01732,-0.43504,0.25221,0.65698,-0.01411,0.0484,-0.0315,0.07788,-0.02625
Abr 2021,0.00351,-0.00824,-0.01991,0.12657,0.9462,0.08271,0.10919,0.11468,0.05484,0.03535
Mar 2021,0.0034,0.04715,0.26077,-0.09316,0.30823,0.01434,-0.02399,0.11637,-0.0749,-0.06977
Feb 2021,0.00341,0.01466,0.31254,1.33239,0.33536,0.092,0.14038,0.05221,-0.01922,0.08686
Ene 2021,0.0037,-0.02453,0.13579,0.64301,0.27056,-0.01521,0.00918,-0.10489,0.01797,0.05954
Dic 2020,0.00403,0.07476,0.38508,0.05265,-0.17411,-0.01935,0.02325,0.0335,0.15548,0.08264
Nov 2020,0.00345,0.11822,0.35611,0.61561,0.24428,0.09698,0.11907,0.06926,-0.05323,0.08759
Oct 2020,0.00362,-0.02587,0.24481,-0.08621,-0.02359,0.06333,0.00459,-0.04856,0.00739,0.06563
Sep 2020,0.00468,-0.00232,-0.07812,-0.18922,-0.19868,-0.01809,-0.0129,0.02263,-0.19593,-0.03047
Ago 2020,0.00368,0.02107,0.02789,-0.12559,-0.11605,0.04562,0.05708,0.06397,0.14759,0.06763
Jul 2020,0.00456,-0.00236,0.2154,0.51408,-1.71964,0.06012,0.05308,0.09026,0.26839,0.09287